"country_name","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Afghanistan",51.93,35.66,16.36,10.57,6.78,8.68,26.42,-6.81,2.18,11.8,6.44,7.39,4.67,-0.66,4.38,4.98,0.63,2.3,5.44,5.06,13.71,9.1,0
"Albania",5.2,2.4,2.9,2.4,2.4,3,3.3,2.2,3.6,3.4,2,1.9,1.6,1.9,1.3,2,2,1.4,1.6,2,6.7,4.8,4
"Algeria",1.4,4.3,4,1.4,2.3,3.7,4.9,5.7,3.9,4.5,8.9,3.3,2.9,4.8,6.4,5.6,4.3,2,2.4,7.2,9.3,9,6.8
"Andorra",3.1,3.1,2.9,3.5,3.7,2.7,4.3,-1.2,1.7,2.6,1.5,0.5,-0.1,-1.1,-0.4,2.6,1,0.5,0.1,1.7,6.2,5.2,3.5
"Angola",108.9,98.2,43.5,23,13.3,12.2,12.5,13.7,14.5,13.5,10.3,8.8,7.3,9.2,30.7,29.8,19.6,17.1,22.3,25.8,21.4,13.1,22.3
"Antigua and Barbuda",2.4,2,2,2.1,1.8,1.4,5.3,-0.6,3.4,3.5,3.4,1.1,1.1,1,-0.5,2.4,1.2,1.4,1.1,1.6,7.5,5,2.9
"Argentina",25.9,13.4,4.4,9.6,10.9,8.8,8.6,6.3,10.5,9.8,10,10.6,0,0,0,25.7,34.3,53.5,42,48.4,72.4,121.7,93.7
"Armenia",1,4.7,6.9,0.6,2.9,4.4,9.1,3.5,8.2,7.5,2.5,5.7,3,3.7,-1.4,1.2,2.5,1.4,1.2,7.2,8.6,3.5,4
"Australia",3,2.7,2.3,2.7,3.6,2.4,4.3,1.8,2.9,3.4,1.7,2.5,2.5,1.5,1.3,2,1.9,1.6,0.9,2.8,6.6,5.8,4
"Austria",1.7,1.3,2,2.1,1.7,2.2,3.2,0.4,1.7,3.5,2.6,2.1,1.5,0.8,1,2.2,2.1,1.5,1.4,2.8,8.6,7.8,3.7
"Azerbaijan",2.8,2.1,6.7,9.6,8.3,16.7,20.8,1.5,5.7,7.9,1.1,2.4,1.4,4,12.4,12.9,2.3,2.6,2.8,6.7,13.9,10.3,5.6
"Bahamas",1.5,3.7,1.2,1.8,2,2.4,4.4,1.7,1.6,3.1,1.9,0.4,1.2,1.9,-0.3,1.5,2.3,2.5,0,2.9,5.6,3.9,3.2
